id,title,genre,release_year,popularity,developer,publisher,price_per_day,rating
894,Resident Evil: Revelations,Action,2013,7,Capcom,Capcom,7535,M
895,Lost: Via Domus,Action,2008,6.4,Ubisoft Montreal,Ubisoft,6034,T
896,Manhunt 2,Action,2007,7.8,Rockstar London,Take-Two Interactive,6548,M
897,John Daly's ProStroke Golf,Sports,2010,4.1,Gusto Games,O-Games,7660,E
898,Mirror's Edge Catalyst,Platform,2016,4.7,EA DICE,Electronic Arts,6597,T
899,Brain Age: Train Your Brain in Minutes a Day,Misc,2005,7.9,Nintendo,Nintendo,7780,E
900,Death Jr.,Platform,2005,7.3,Backbone Entertainment,Konami Digital Entertainment,9328,T
901,Lollipop Chainsaw,Action,2012,7.1,Grasshopper Manufacture,Warner Bros. Interactive Entertainment,7008,M
902,X-Men: The Official Game,Action,2006,7.5,"Z-Axis, Ltd.",Activision,8615,T
903,Shaun White Snowboarding: Road Trip,Sports,2008,8.7,Ubisoft,Ubisoft,9755,E10+
904,Dance Dance Revolution Universe 3,Simulation,2008,7.7,Konami,Konami Digital Entertainment,9961,E
905,NHL 2K10,Sports,2009,7.9,Take-Two Interactive,Take-Two Interactive,6678,E10+
906,Iron Man 2,Action,2010,5.2,Sega Studios San Francisco,Sega,8862,T
907,Fist of the North Star: Ken's Rage 2,Fighting,2012,7,"Koei, Omega Force",Tecmo Koei,9205,M
908,X-Blades,Action,2009,5.9,Gaijin Entertainment,SouthPeak Games,6279,M
909,Pokemon Mystery Dungeon: Gates to Infinity,Role-Playing,2012,6.3,"Nintendo, Spike Chunsoft",Nintendo,7132,E
910,Galactic Wrestling: Featuring Ultimate Muscle,Fighting,2004,8,Aki Corp.,Namco Bandai Games,7056,T
911,MTV Music Generator 3: This Is the Remix,Misc,2004,8.6,Mix Max,Codemasters,9574,T
912,Tamagotchi Connection: Corner Shop,Simulation,2005,7.7,NanaOn-Sha,Atari,7037,E
913,Rez,Shooter,2001,8.3,UGA,Sony Computer Entertainment,9294,E
914,Damnation,Shooter,2009,5.6,Blue Omega,Codemasters,7690,M
915,Pokemon Channel,Adventure,2003,6,Ambrella,Nintendo,7379,E
916,Sonic Rush,Platform,2005,8.5,"Dimps Corporation, Sonic Team",Sega,5422,E
917,WWE SmackDown vs Raw 2008,Fighting,2007,7.3,Yuke's,THQ,6828,T
918,Star Fox: Assault,Shooter,2005,8.1,Namco,Nintendo,8855,T
919,Aquaman: Battle for Atlantis,Action,2003,3.1,TDK Mediactive,TDK Mediactive,9181,T
920,Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,2016,8.5,CyberConnect2,Namco Bandai Games,7574,T
921,Lucha Libre AAA: Heroes del Ring,Fighting,2010,6.3,Immersion Software & Graphics,Konami Digital Entertainment,7747,T
922,Pokemon XD: Gale of Darkness,Role-Playing,2005,8.3,Genius Sonority Inc.,Nintendo,5789,E
923,Michael Jackson: The Experience,Misc,2011,5.8,Ubisoft,Ubisoft,6654,E10+
924,Dark Angel: Vampire Apocalypse,Role-Playing,2001,5.6,Metro3D,Metro 3D,9050,T
925,Phoenix Wright: Ace Attorney,Adventure,2005,9.2,Capcom,Capcom,5807,T
926,Battlefield 4,Shooter,2013,5.8,EA DICE,Electronic Arts,5285,M
927,Lux-Pain,Adventure,2008,6.2,Killaware,Rising Star Games,8116,T
928,Shadow Man: 2econd Coming,Adventure,2002,7.6,Acclaim,Acclaim Entertainment,8323,M
929,NCAA March Madness 06,Sports,2005,9.1,EA Canada,Electronic Arts,7796,E
930,Risen 2: Dark Waters,Role-Playing,2012,5.6,Piranha Bytes,Deep Silver,9989,M
931,Harry Potter and the Deathly Hallows - Part 2,Action,2011,5,T,Electronic Arts,9018,T
932,Sword Art Online: Lost Song,Role-Playing,2015,7.1,"Bandai Namco Games, Artdink",Namco Bandai Games,6323,T
933,Urban Chaos: Riot Response,Shooter,2006,8.6,Rocksteady Studios,Eidos Interactive,9923,M
934,Uncharted: Golden Abyss,Shooter,2011,7.4,"Naughty Dog, Sony Bend",Sony Computer Entertainment,9396,T
935,Rayman Legends,Platform,2013,8.7,Ubisoft Montpellier,Ubisoft,5855,E10+
936,Dragon Quest Monsters: Joker,Role-Playing,2006,7.4,TOSE,Square Enix,7940,E10+
937,Madden NFL 06,Sports,2005,7.9,EA Tiburon,Electronic Arts,7388,E
938,Age of Empires III,Strategy,2005,7.7,Ensemble Studios,Microsoft Game Studios,6832,T
