id,title,genre,release_year,popularity,developer,publisher,price_per_day,rating
304,Operation Flashpoint: Elite,Shooter,2005,8.3,Bohemia Interactive,Codemasters,6064,T
305,BattleForge,Strategy,2009,7,EA Phenomic,Electronic Arts,7874,T
306,Burnout,Racing,2002,6.6,Criterion Games,Acclaim Entertainment,8626,E
307,Iron Man 2,Action,2010,4.6,High Voltage Software,Sega,8459,T
308,Looney Tunes: Acme Arsenal,Action,2007,6.8,Red Tribe,Warner Bros. Interactive Entertainment,5922,E10+
309,Time Crisis: Project Titan,Shooter,2001,6.7,Flying Tiger Development,Namco Bandai Games,8914,T
310,Gauntlet: Dark Legacy,Action,2001,8.3,Midway,Midway Games,7045,T
311,Advance Wars 2: Black Hole Rising,Strategy,2003,9.4,Intelligent Systems,Nintendo,5218,E
312,Far Cry: Primal,Action,2016,6.3,Ubisoft Montreal,Ubisoft,8317,M
313,MotorStorm: Arctic Edge,Racing,2009,8.8,Bigbig Studios,Sony Computer Entertainment,6552,T
314,inFAMOUS 2,Action,2011,8.4,Sucker Punch,Sony Computer Entertainment,8259,T
315,Beyond: Two Souls,Adventure,2013,8.1,Quantic Dream,Sony Computer Entertainment,5796,M
316,Blazblue: Continuum Shift Extend,Fighting,2011,7.5,Arc System Works,PQube,9108,T
317,Smash Court Tennis 3,Sports,2007,6.3,"Namco Bandai Games America, Namco Bandai Games",Namco Bandai Games,6111,E
318,Front Mission Evolved,Shooter,2010,5.1,Double Helix Games,Square Enix,6288,T
319,2002 FIFA World Cup,Sports,2002,7.7,EA Sports,Electronic Arts,5775,E
320,NFL Street 2 Unleashed,Sports,2005,7.4,EA Tiburon,Electronic Arts,8425,E
321,Marvel: Ultimate Alliance,Role-Playing,2006,7.5,Raven Software,Activision,6816,T
322,NBA Live 2003,Sports,2002,8.3,EA Canada,Electronic Arts,7157,E
323,Stormrise,Strategy,2009,5.3,Creative Assembly,Sega,7066,M
324,Pac-Man World Rally,Racing,2006,7.8,Smart Bomb Interactive,Namco Bandai Games,7995,E
325,Batman: Arkham Origins,Action,2013,7.7,WB Games Montreal,Warner Bros. Interactive Entertainment,8373,T
326,Mat Hoffman's Pro BMX 2,Sports,2002,9.1,Rainbow Studios,Activision,9731,T
327,Blazing Angels: Squadrons of WWII,Simulation,2007,6.7,Ubisoft,Ubisoft,6564,T
328,Freestyle Metal X,Racing,2003,8.3,Deibus Studios,Midway Games,6239,T
329,World of Warcraft: Cataclysm,Role-Playing,2010,5.6,Blizzard Entertainment,Activision,6852,T
330,Ghostbusters: The Video Game,Action,2009,8.5,Red Fly Studio,Atari,6767,E10+
331,Dead or Alive Paradise,Misc,2010,5.6,"Team Ninja, Tecmo",Ubisoft Annecy,7219,M
332,Red Faction: Armageddon,Shooter,2011,6.7,Volition Inc.,THQ,6575,M
333,World in Conflict,Strategy,2007,8.1,Massive Entertainment,Vivendi Games,7820,T
334,Darksiders II,Action,2012,8.2,Vigil Games,THQ,8826,M
335,Scaler,Platform,2004,7.3,Artificial Mind and Movement,Take-Two Interactive,6699,E
336,Sniper: Ghost Warrior 2,Shooter,2013,5.8,City Interactive,City Interactive,5407,M
337,Art Academy: Home Studio,Misc,2015,8.3,Headstrong Games,Nintendo,7852,E
338,CSI: Fatal Conspiracy,Adventure,2010,5.6,Telltale Games,Ubisoft,9765,M
339,Voodoo Vince,Platform,2003,8.4,Beep Industries,Microsoft Game Studios,9198,T
340,The Binding of Isaac,Action,2012,8.3,"Edmund McMillen, Florian Himsl",Unknown,7907,T
341,Def Jam Rapstar,Misc,2010,5.4,"Terminal Reality, 4mm Games",Konami Digital Entertainment,6808,T
342,F.E.A.R. 3,Shooter,2011,7.1,Day 1 Studios,Warner Bros. Interactive Entertainment,5733,M
343,Need For Speed: High Stakes,Racing,1999,8.5,EA Canada,Electronic Arts,9600,E
344,Final Fantasy Tactics: The War of the Lions,Role-Playing,2007,8,TOSE,Square Enix,6258,T
345,Gears of War 4,Shooter,2016,6.2,The Coalition,Microsoft Game Studios,9159,M
346,Superman Returns,Action,2006,6.2,EA Tiburon,Electronic Arts,5341,T
347,Major League Baseball 2K5,Sports,2005,7.4,Kush Games,Take-Two Interactive,8300,E
348,Sonic Rivals,Racing,2006,7.8,Backbone Entertainment,Sega,8944,E
349,Star Ocean: Till The End of Time,Role-Playing,2003,7.7,Tri-Ace,Ubisoft,7129,T
350,FIFA Soccer 2003,Sports,2002,6.7,EA Canada,Electronic Arts,7856,E
351,Rock Revolution,Misc,2008,5.1,"Zoe Mode, HB Studios Multimedia",Konami Digital Entertainment,7288,T
352,MLB Front Office Manager,Sports,2009,4.6,Blue Castle Games,Take-Two Interactive,6490,E
353,Spider-Man: Mysterio's Menace,Action,2001,8.7,Vicarious Visions,Activision,9493,E
354,G1 Jockey 3,Sports,2002,9,Koei/Inis,THQ,8105,E
355,Luigi's Mansion: Dark Moon,Action,2013,8.4,Next Level Games,Nintendo,6830,E
356,The Sims 2,Simulation,2005,7.5,Maxis,Electronic Arts,9224,E10+
357,Deadpool,Action,2013,7.2,High Moon Studios,Activision,8130,M
358,Madden NFL 2001,Sports,2000,6.8,EA Sports,Electronic Arts,8444,E
359,The Legend of Heroes II: Prophecy of the Moonlight Witch,Role-Playing,2004,6.9,Microvision,Namco Bandai Games,8493,E10+
360,The Crew: Wild Run,Action,2015,6.6,Ivory Tower,Ubisoft,8878,T
361,Fable II,Role-Playing,2008,6.5,Lionhead Studios,Microsoft Game Studios,9168,M
362,DJ Hero 2,Misc,2010,7.5,FreeStyleGames,Activision,9158,T
363,Major League Baseball 2K9,Sports,2009,5.3,2K Sports,Spike,5401,E
364,The LEGO Movie Videogame,Action,2014,6.8,TT Games,Warner Bros. Interactive Entertainment,5737,E10+
365,Blazblue: Continuum Shift Extend,Fighting,2011,7.5,Arc System Works,PQube,9494,T
366,LEGO Indiana Jones: The Original Adventures,Action,2008,7.7,Traveller's Tales,Activision,8478,E10+
367,4x4 EVO 2,Racing,2001,6.2,Terminal Reality,Gathering of Developers,8982,E
368,LEGO Batman: The Videogame,Action,2008,8,TT Fusion,Warner Bros. Interactive Entertainment,9243,E10+
369,Dishonored,Action,2012,7.9,Arkane Studios,Bethesda Softworks,6249,M
370,Tony Hawk's Pro Skater 3,Sports,2002,8,Vicarious Visions,Activision,8531,E
371,Pac-Man World 3,Platform,2005,5.2,Blitz Games,Namco Bandai Games,6196,E
372,Need for Speed Rivals,Racing,2013,4.9,Ghost Games,Electronic Arts,5259,E10+
373,Pro Evolution Soccer 2008,Sports,2008,8.4,Konami,Konami Digital Entertainment,8994,E
374,EA Sports UFC 2,Sports,2016,6.2,EA Sports,Electronic Arts,5119,T
375,Ford Racing 3,Racing,2004,6.6,Razorworks Studios,Take-Two Interactive,5306,E
376,The Walking Dead: Survival Instinct,Shooter,2013,3.6,Terminal Reality,Activision,6979,M
377,Samurai Shodown Sen,Fighting,2009,5.2,K2 LLC,Rising Star Games,5693,M
378,Constantine,Action,2005,7.4,Bits Studios,SCi,9236,M
379,2002 FIFA World Cup,Sports,2002,5.6,EA Sports,Electronic Arts,9307,E
380,AirForce Delta Strike,Simulation,2004,7,KCE Studios,Konami Digital Entertainment,6710,T
381,NCAA Football 10,Sports,2009,6.7,EA Tiburon,Electronic Arts,6106,E
382,Culdcept,Strategy,2002,8.9,NEC Interchannel,Sega,7423,T
383,AMF Bowling 2004,Sports,2003,4.4,T,Mud Duck Productions,8058,T
384,State of Emergency,Action,2003,6.3,VIS Entertainment,Take-Two Interactive,7664,M
385,Disney's Donald Duck: Goin' Quackers,Platform,2002,3,Ubisoft Montreal,Ubisoft,7843,E
386,Drakengard 2,Role-Playing,2005,5.5,Cavia Inc.,Ubisoft,7441,M
387,ATV Quad Power Racing 2,Racing,2003,9,Climax Group,Acclaim Entertainment,7889,E
388,Michael Jackson: The Experience,Misc,2011,8.4,Ubisoft Montreal,Ubisoft,5654,E10+
389,Zumba Fitness,Sports,2010,5.5,"Pipeworks Software, Inc.",505 Games,5382,E
390,V-Rally 3,Racing,2002,7.4,Eden Studios,Atari,5499,E
391,Game Party: Champions,Action,2012,3.5,"Phosphor Games Studio, LLC",Warner Bros. Interactive Entertainment,8151,E
392,Avalon Code,Role-Playing,2008,7.4,"Matrix Software, Marvelous Entertainment",Rising Star Games,6809,E10+
393,Spider-Man 2,Action,2004,7.7,Digital Eclipse,Activision,5864,E
394,Hail to the Chimp,Misc,2008,4.5,Wideload Games Inc.,Gamecock,7644,T
395,SOCOM: U.S. Navy SEALs Fireteam Bravo,Shooter,2005,8.6,Zipper Interactive,Sony Computer Entertainment,8489,M
396,Chessmaster,Misc,2004,9,Ubisoft,Ubisoft,5710,E
397,The Matrix: Path of Neo,Action,2005,7.9,Shiny Entertainment,Atari,8615,T
398,Super Street Fighter IV: 3D Edition,Fighting,2011,8.1,Capcom,Capcom,7944,T
399,Star Wars: Bounty Hunter,Shooter,2002,7.6,LucasArts,LucasArts,5874,T
400,Drakengard 3,Role-Playing,2013,7.7,Access Games,Square Enix,6533,M
401,Rogue Ops,Action,2003,9.2,Bits Studios,Kemco,9632,M
402,Metal Gear Solid V: Ground Zeroes,Action,2014,5.9,Kojima Productions,Konami Digital Entertainment,7059,M
403,Age of Conan: Rise of the Godslayer,Role-Playing,2010,8.4,Funcom,Funcom,6502,M
404,NBA Street V3,Sports,2005,8.4,EA Canada,Electronic Arts,9585,E
405,Surfing H3O,Sports,2000,4.6,Opus,Take-Two Interactive,9129,E
406,Call of Duty: World at War,Shooter,2008,7.6,Treyarch,Activision,8007,M
407,NBA Live 10,Sports,2009,7.5,EA Canada,Electronic Arts,9696,E
408,Super Mario Galaxy,Platform,2007,8.9,Nintendo,Nintendo,8668,E
409,Remember Me,Action,2013,7.4,DONTNOD Entertainment,Capcom,7878,M
410,Mortal Kombat: Tournament Edition,Fighting,2003,8.1,Criterion Games,Midway Games,8211,M
411,NBA 2K6,Action,2005,8.6,Visual Concepts,Take-Two Interactive,5752,E
412,Toy Story Racer,Racing,2001,8.7,Traveller's Tales,Activision,8191,E
413,Doom,Shooter,1992,8.2,id Software,id Software,6421,M
414,Dragon Age II,Action,2011,4.5,BioWare,Electronic Arts,6319,M
415,Mega Man Battle Network,Role-Playing,2001,8.9,Capcom,Capcom,6493,E
416,Crysis 3,Shooter,2013,6.7,Crytek,Electronic Arts,8593,M
417,FIFA Soccer 2004,Sports,2003,7.9,Exient Entertainment,Electronic Arts,9296,E
418,Cabela's Dangerous Hunts 2009,Sports,2008,1.8,FUN Labs,Activision Value,8151,T
419,Jenga World Tour,Misc,2007,2.8,Atomic Planet Entertainment,Atari,8071,E
420,NBA 2K7,Sports,2006,7.8,"Kush Games, Visual Concepts",Take-Two Interactive,8023,E
421,NASCAR Thunder 2003,Racing,2002,6.6,EA Sports,Electronic Arts,9892,E
422,Airborne Troops: Countdown to D-Day,Shooter,2005,8.1,WideScreen Games,Playlogic Game Factory,8310,T
423,Oddworld: Munch's Oddysee,Platform,2001,8.7,Oddworld Inhabitants,Atari,7247,T
424,WWE Crush Hour,Racing,2003,7,Pacific Coast Power & Light,THQ,7888,T
425,NBA 2K16,Sports,2015,6.2,Visual Concepts,Take-Two Interactive,9663,E10+
426,Fallout 3,Role-Playing,2008,7.9,Bethesda Game Studios,Bethesda Softworks,5644,M
427,Teenage Mutant Ninja Turtles: Mutants in Manhattan,Action,2016,6,PlatinumGames,Activision,6124,T
428,Call of Duty: World at War,Shooter,2008,7.5,Treyarch,Activision,5646,M
429,DK: King of Swing,Platform,2005,5,Paon Corporation,Nintendo,7161,E
430,NBA Inside Drive 2003,Sports,2002,7.8,High Voltage Software,Microsoft Game Studios,9428,E
431,Fight Club,Fighting,2004,4.7,Genuine Games,Vivendi Games,8423,M
432,7 Days to Die,Action,2016,5.2,The Fun Pimps Entertainment LLC,Telltale Games,8193,M
433,Battleborn,Shooter,2016,6.9,Gearbox Software,Take-Two Interactive,7417,T
434,Disney's Extreme Skate Adventure,Sports,2003,7.6,Toys for Bob,Activision,5432,E
435,Tom Clancy's Rainbow Six: Siege,Shooter,2015,7.3,Ubisoft Montreal,Ubisoft,5390,M
436,CSI: Crime Scene Investigation,Adventure,2004,7.3,369 Interactive,Ubisoft,7559,M
437,Guitar Hero 5,Misc,2009,6.9,Vicarious Visions,Activision,7081,T
438,Death Jr. and the Science Fair of Doom,Platform,2007,7.5,Foundation 9 Entertainment,Konami Digital Entertainment,6394,E10+
439,NHL 08,Action,2007,6.9,EA Canada,Electronic Arts,7178,E10+
440,Crysis: Warhead,Shooter,2008,7.9,Crytek,Electronic Arts,5860,M
441,Resistance: Burning Skies,Shooter,2012,6.8,Nihilistic,Sony Computer Entertainment,6398,M
442,Crash Team Racing,Racing,1999,9,Naughty Dog,Sony Computer Entertainment,7537,E
443,Shin Megami Tensei: Nocturne,Role-Playing,2003,8.7,Atlus Co.,Ghostlight,6111,M
444,JSRF: Jet Set Radio Future,Action,2002,8.2,Smilebit,Sega,8659,T
445,Superman: Shadow of Apokolips,Action,2002,7.2,Atari,Atari,5639,E
446,Castlevania: Aria of Sorrow,Platform,2003,9.1,KCET,Konami Digital Entertainment,6294,T
447,Dead to Rights II,Shooter,2005,5.3,WideScreen Games,Electronic Arts,9175,M
448,Bionic Commando,Platform,2009,7.3,GRIN,Capcom,8206,M
449,Lost: Via Domus,Action,2008,6.9,Ubisoft Montreal,Ubisoft,9478,T
450,Heroes over Europe,Simulation,2009,7,"Atari, Transmission Games, Atari SA",Ubisoft,7022,T
451,College Hoops 2K8,Sports,2007,6.9,Visual Concepts,Take-Two Interactive,8879,E
452,Ghost in the Shell: Stand Alone Complex,Adventure,2005,7.4,G-Artists,Atari,8549,T
453,Rogue Warrior,Shooter,2009,2.8,Rebellion,Bethesda Softworks,8282,M
454,Pac-Man Fever,Misc,2001,6.3,Mass Media,Sony Computer Entertainment,9522,E
455,InuYasha: Secret of the Divine Jewel,Role-Playing,2007,7.6,Art,Namco Bandai Games,8437,E10+
456,Theresia...,Adventure,2008,8,WorkJam,Arc System Works,8835,M
457,Stuntman,Racing,2002,5.7,Reflections Interactive,Atari,5995,T
458,JoJo's Bizarre Adventure: Eyes of Heaven,Fighting,2015,7.4,CyberConnect2,Namco Bandai Games,6959,T
459,Tokyo Jungle,Action,2012,8.4,Crispy's,Sony Computer Entertainment,9338,T
460,Assassin's Creed: Revelations,Action,2011,7.5,Ubisoft Montreal,Ubisoft,9276,M
461,The Polar Express,Adventure,2004,4.3,Blue Tongue,THQ,9821,E
462,Mafia II,Action,2010,7.9,2K Czech,Take-Two Interactive,5423,M
463,Beowulf: The Game,Action,2007,5.4,Virtuos,Ubisoft,7175,M
464,Guitar Hero: On Tour Decades,Misc,2008,8,Vicarious Visions,Activision,8839,E10+
465,Pac-Man World Rally,Racing,2006,7.4,Smart Bomb Interactive,Namco Bandai Games,6748,E
466,Tales of Destiny II,Role-Playing,2000,8.7,Namco,Namco Bandai Games,8146,T
467,Brain Challenge,Misc,2008,7,Ubisoft,Ubisoft,8614,E
468,Backyard Wrestling: Don't Try This at Home,Fighting,2003,7.8,Paradox Development,Eidos Interactive,5105,M
469,Bolt,Adventure,2008,6.8,Avalanche Software,Disney Interactive Studios,6794,E10+
470,X-Men: Destiny,Action,2011,5,Silicon Knights,Activision,5370,T
471,NERF N-Strike,Shooter,2008,4.4,"EA Redwood Shores, EA Salt Lake",Electronic Arts,6721,E10+
472,Rapala Tournament Fishing!,Sports,2006,8,FUN Labs,Activision,5853,E
473,Venetica,Role-Playing,2009,6.8,Deck 13,DTP Entertainment,9252,T
474,2010 FIFA World Cup South Africa,Sports,2010,6.7,Electronic Arts,Electronic Arts,7975,E
475,WWII Aces,Simulation,2008,5.4,Arcade Moon,Destineer,8336,T
476,Viewtiful Joe,Action,2003,8.3,Clover Studio,Capcom,6641,T
477,Wall-E,Platform,2008,5,Heavy Iron Studios,THQ,5999,E
478,Sonic Rush Adventure,Platform,2007,8.2,Dimps Corporation,Sega,8186,E
479,Dead to Rights II,Shooter,2005,7.4,Namco,Electronic Arts,8226,M
480,Ni no Kuni: Wrath of the White Witch,Role-Playing,2011,8.6,Level 5,Namco Bandai Games,9362,E10+
481,Rayman Legends,Platform,2014,8.4,Ubisoft Montpellier,Ubisoft,7269,E10+
482,DriveClub,Racing,2014,6.1,Evolution Studios,Sony Computer Entertainment,5259,E
483,Payday 2,Shooter,2013,3.4,Overkill Software,505 Games,7169,M
484,Metal Gear Solid: Digital Graphic Novel,Misc,2006,7.2,Kojima Productions,Konami Digital Entertainment,9046,M
485,Natural Doctrine,Role-Playing,2014,7.5,Kadokawa,Nippon Ichi Software,6757,M
486,Persona 4: Dancing All Night,Misc,2015,8.6,"Atlus, Dingo Inc.",Nippon Ichi Software,6081,T
487,Crimson Sea,Action,2002,8.2,Koei,Tecmo Koei,7999,T
488,Mortal Kombat: Deception,Fighting,2005,8.9,Midway,Midway Games,5358,M
489,HBO Boxing,Fighting,2000,4,Osiris Studios,Acclaim Entertainment,9103,E
490,Dragon Ball Z: Budokai 2,Fighting,2003,8.2,Dimps Corporation,Atari,7057,T
491,WWE 2K16,Sports,2015,5.7,Yuke's,Take-Two Interactive,5158,T
492,Virtua Tennis 4,Sports,2011,6.2,Sega,Sega,8312,E
493,NCAA Football 09,Sports,2008,7.3,EA Tiburon,Electronic Arts,8022,E
494,Two Worlds II,Role-Playing,2011,6.6,Reality Pump,Unknown,8796,M
495,Bodycount,Shooter,2011,3.5,Guildford Studio,Codemasters,9314,M
496,BlazBlue Central Fiction,Fighting,2016,7.6,Arc System Works,PQube,6302,T
497,NHL Hitz 20-03,Sports,2002,8.4,Midway,Midway Games,7103,E
498,Call of Duty: Infinite Warfare,Shooter,2016,3.1,Infinity Ward,Activision,5704,M
499,Front Mission 4,Strategy,2003,8.6,Square Enix,Square Enix,8435,T
500,Madden NFL 09,Sports,2008,7,EA Tiburon,Electronic Arts,5897,E
501,uDraw Studio: Instant Artist,Misc,2011,5.7,THQ,THQ,5374,E
502,Animal Crossing: Wild World,Simulation,2005,8.7,Nintendo,Nintendo,7338,E
503,Kingdom Hearts 3D: Dream Drop Distance,Action,2012,8.2,Square Enix,Square Enix,9242,E10+
504,Robocalypse,Strategy,2008,8.6,Vogster,Tecmo Koei,5923,E10+
505,World Series of Poker 2008: Battle for the Bracelets,Misc,2007,6.7,Left Field Productions,Activision,5432,T
506,River City Ransom EX,Action,2004,8.4,Million,Atlus,9831,T
507,Teenage Mutant Ninja Turtles,Action,2003,8.7,KCE Studios,Konami Digital Entertainment,9343,E
508,NCAA Football 2005,Sports,2004,8.8,EA Tiburon,Electronic Arts,6150,E
509,Onechanbara Z2: Chaos,Action,2014,6.5,"Tamsoft, D3Publisher",Nippon Ichi Software,9988,M
510,Game Party 2,Misc,2008,4.6,Midway,Midway Games,7864,E
511,SpongeBob SquarePants: Battle for Bikini Bottom,Platform,2003,8.9,Heavy Iron Studios,THQ,5225,E
512,Grand Theft Auto III,Action,2001,8.5,DMA Design,Take-Two Interactive,6153,M
513,The Walking Dead: Survival Instinct,Shooter,2013,4,Terminal Reality,Activision,5419,M
514,Star Wars Battlefront: Elite Squadron,Shooter,2009,8,Savage Entertainment,LucasArts,5649,T
515,Pirates of the Caribbean: At World's End,Action,2007,7,Eurocom Entertainment Software,Disney Interactive Studios,8658,T
516,Dynasty Warriors: Strikeforce,Action,2009,6.8,Omega Force,Ubisoft Annecy,6695,T
517,Final Fantasy Tactics Advance,Role-Playing,2003,7.8,Square Enix,SquareSoft,7587,E
518,Batman: Arkham Knight,Action,2015,7.6,Rocksteady Studios,Warner Bros. Interactive Entertainment,7646,M
519,WWE SmackDown vs. Raw 2010,Fighting,2009,8.4,Yuke's,THQ,9002,T
520,Shark Tale,Action,2004,6.5,Edge of Reality,Activision,8338,E
521,Arcana Heart,Fighting,2007,8.1,Examu,AQ Interactive,5604,T
522,Naruto Shippuden: Ultimate Ninja Storm 3,Fighting,2013,7.7,CyberConnect2,Namco Bandai Games,7997,T
523,F1 Race Stars,Racing,2012,5.7,Codemasters,Codemasters,6368,E
524,Skylanders Giants,Action,2012,7,Toys for Bob,Activision,6592,E10+
525,Resident Evil 3: Nemesis,Action,2003,8.3,Capcom,Capcom,6631,M
526,Cars,Racing,2006,7,Locomotive Games,THQ,5718,E
527,The Saboteur,Action,2009,8.1,Pandemic Studios,Electronic Arts,9289,M
528,Midnight Club 3: DUB Edition,Racing,2005,8.4,Rockstar Leeds,Take-Two Interactive,9801,E10+
529,LEGO Dimensions,Action,2015,6.5,Traveller's Tales,Warner Bros. Interactive Entertainment,8832,E10+
530,Echo Night Beyond,Adventure,2004,8.8,From Software,Indie Games,9106,T
531,Touch Detective,Adventure,2006,6.8,BeeWorks,505 Games,7994,E10+
532,Secret Files: Tunguska,Adventure,2008,7.6,"10tacle Studios, Fusionsphere Systems",Deep Silver,7917,T
533,Toy Soldiers: War Chest,Action,2015,7.7,Krome Studios,Ubisoft,7391,T
534,Harry Potter and the Goblet of Fire,Action,2005,5.8,Electronic Arts,Electronic Arts,8657,E10+
535,Indiana Jones and the Staff of Kings,Action,2009,7,Artificial Mind and Movement,Activision,8893,T
536,Castlevania Double Pack,Platform,2006,8.4,KCET,Konami Digital Entertainment,5924,T
537,InuYasha: Feudal Combat,Fighting,2005,8.3,Eighting,Namco Bandai Games,6286,T
538,Transworld Snowboarding,Sports,2002,9.2,Housemarque,Atari,7874,T
539,SAW,Action,2009,7.4,Zombie Studios,Konami Digital Entertainment,7029,M
540,Peter Jackson's King Kong: The Official Game of the Movie,Action,2005,8.3,Ubisoft Montpellier,Ubisoft,6282,T
541,The Legend of Spyro: A New Beginning,Platform,2006,7.3,Krome Studios,Vivendi Games,5312,E10+
542,Monster Madness: Battle for Suburbia,Shooter,2007,5.2,"Artificial Studios, Immersion Software & Graphics",SouthPeak Games,8781,T
543,Def Jam Vendetta,Fighting,2003,8.5,Aki Corp.,Electronic Arts,6900,T
544,Divinity II: Ego Draconis,Role-Playing,2009,7.7,Larian Studios,DTP Entertainment,7619,M
545,Metro: Last Light,Action,2013,8.2,4A Games,Deep Silver,9372,T
546,JASF: Jane's Advanced Strike Fighters,Simulation,2011,3.1,Trickstar Games,Deep Silver,7078,T
547,Star Wars: The Force Unleashed,Action,2008,8.1,Krome Studios,LucasArts,8569,T
548,Bleach: Shattered Blade,Fighting,2006,7.5,Polygon Magic,Sega,5576,T
549,Midnight Club 3: DUB Edition Remix,Racing,2006,8.9,Rockstar San Diego,Take-Two Interactive,6897,E10+
550,Deus Ex: Human Revolution,Shooter,2011,8.5,Nixxes Software,Square Enix,9179,M
551,Prince of Persia: Warrior Within,Action,2004,8.6,Ubisoft,Ubisoft,6681,M
552,Darkened Skye,Adventure,2002,6.4,Boston Animation,TDK Mediactive,5878,T
553,Escape From Monkey Island,Adventure,2001,8.2,LucasArts,LucasArts,8093,T
554,Dance Dance Revolution Universe 2,Simulation,2007,7.4,Konami,Konami Digital Entertainment,8763,E10+
555,Star Wars: The Force Unleashed II,Action,2010,7.8,"LucasArts, Red Fly Studio",LucasArts,8258,T
556,Lucha Libre AAA: Heroes del Ring,Fighting,2010,7.1,Immersion Software & Graphics,Konami Digital Entertainment,5995,T
557,OutRun 2006: Coast 2 Coast,Racing,2006,8.1,Sumo Digital,Sega,8766,E
558,Dead Rising 2: Off the Record,Action,2011,7.5,Capcom Vancouver,Capcom,8374,M
559,Mortal Kombat X,Fighting,2015,7.3,"Warner Bros. Interactive Entertainment, NetherRealm Studios",Warner Bros. Interactive Entertainment,6583,M
560,Wipeout: In The Zone,Misc,2011,5.6,Activision,Activision,6038,E10+
561,The 3rd Birthday,Role-Playing,2010,6.1,HexaDrive,Square Enix,7738,M
562,SimCity 4,Simulation,2003,8.7,Maxis,Electronic Arts,5384,E
563,Blade II,Action,2002,6.1,Mucky Foot Productions,Activision,6259,M
564,Midway Arcade Treasures,Misc,2003,8.2,Midway,Midway Games,7674,T
565,Forza Horizon 2,Racing,2014,8.2,Playground Games,Microsoft Game Studios,9958,E10+
566,Lord of Arcana,Role-Playing,2010,5.5,Access Games,Square Enix,5445,M
567,Rogue Trooper,Shooter,2006,8.5,Rebellion,Eidos Interactive,7212,T
568,Bionicle Heroes,Shooter,2006,5.2,Traveller's Tales,Eidos Interactive,7641,E10+
569,Worms 3D,Strategy,2003,7.6,Team 17,Sega,9589,T
570,Double Dragon Advance,Action,2003,8.4,Million,Atlus,7715,T
571,Avatar: The Last Airbender,Adventure,2006,6.5,AWE Games,THQ,6677,E10+
572,James Bond 007: Everything or Nothing,Shooter,2004,9.1,EA Redwood Shores,Electronic Arts,9949,T
573,STORM: Frontline Nation,Strategy,2011,7.2,SimBin,Unknown,9978,E10+
574,DmC: Devil May Cry,Action,2013,5.3,Ninja Theory,Capcom,9514,M
575,StarCraft II: Heart of the Swarm,Strategy,2013,7.9,Blizzard Entertainment,Activision,9654,T
576,NBA 2K11,Action,2010,8.6,Visual Concepts,Take-Two Interactive,7045,E
577,LEGO Legends of Chima: Laval's Journey,Adventure,2013,6.6,TT Games,Warner Bros. Interactive Entertainment,8103,E10+
578,Zoo Keeper,Puzzle,2004,7.5,"Buddiez, Inc.",Ignition Entertainment,8251,E
579,Avatar: The Last Airbender,Adventure,2006,6.4,TOSE,THQ,7961,E
580,EVE Online,Role-Playing,2003,7.5,CCP,CCP,5515,T
581,Dragon Ball Z: Battle of Z,Fighting,2014,5.3,Artdink,Namco Bandai Games,6935,T
582,Harry Potter and the Half-Blood Prince,Action,2009,7.1,EA Bright Light,Electronic Arts,5428,E10+
583,The Lord of the Rings: The Two Towers,Action,2002,8.7,Stormfront Studios,Electronic Arts,5333,T
584,The BIGS,Sports,2007,4.8,Blue Castle Games,Take-Two Interactive,6146,E
585,Jimmie Johnson's Anything With an Engine,Racing,2011,6.8,Isopod Labs,Konami Digital Entertainment,8199,E10+
586,Digimon World 2,Role-Playing,2000,7.6,Bandai,Namco Bandai Games,8135,E
587,The Awakened Fate Ultimatum,Role-Playing,2014,7.3,Nippon Ichi Software,Nippon Ichi Software,8039,T
588,F1 2012,Racing,2012,7.5,Codemasters,Codemasters,6931,E
589,Serious Sam 3: BFE,Shooter,2011,8.2,Croteam,Mastertronic,7307,T
590,Age of Mythology: The Titans,Strategy,2003,8.7,Ensemble Studios,Microsoft Game Studios,7081,T
591,Skate,Sports,2007,8.2,EA Black Box,Electronic Arts,8609,T
592,Titanfall 2,Shooter,2016,8,Respawn Entertainment,Electronic Arts,8512,M
593,Madden NFL 06,Sports,2005,6.7,EA Sports,Electronic Arts,7815,E
594,Major League Baseball 2K9,Sports,2009,4.5,2K Sports,Take-Two Interactive,6835,E
595,Wolfenstein,Shooter,2009,7.4,"id Software, Raven Software",Activision,6440,M
596,Star Fox Command,Shooter,2006,7.3,Q-Games,Nintendo,7671,E10+
597,Hot Shots Tennis,Sports,2006,8.1,Clap Hanz,Sony Computer Entertainment,9698,E
598,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,Racing,2007,5.9,Creat Studios,Midway Games,9109,M
599,NCAA March Madness 2005,Sports,2004,7.8,EA Canada,Electronic Arts,7170,E
600,Red Faction: Guerrilla,Shooter,2009,8.1,Volition Inc.,THQ,6419,M
601,Scene It? Lights Camera Action,Misc,2007,8.1,"Screenlife Games, WXP",Microsoft Game Studios,5311,T
602,A Game of Thrones: Genesis,Strategy,2011,4,Cyanide,Focus Home Interactive,5769,T
603,FIFA Soccer 11,Sports,2010,7.3,EA Sports,Electronic Arts,8896,E
604,Spider-Man: Edge of Time,Action,2011,6.4,Beenox,Activision,9312,T
605,The King of Fighters XIII,Fighting,2011,8.2,SNK Playmore,Rising Star Games,7491,T
